identifiant,email,nom,genre,remboursement,taux_endete,cout_total,benefices,age
0,LaurentDagenais@rhyta.com,Laurent Dagenais,M,1130.05,30.8,271212.0,131.99,54.0
1,GuyMarois@fleckens.hu,Guy Marois,M,1487.85,28.02,389715.0,206.66,23.0
2,BeaufortLesage@einrot.com,Beaufort Lesage,M,552.54,29.5,132609.59999999998,53.71,30.0
3,RussellDurand@armyspy.com,Russell Durand,M,586.03,34.8,105485.4,44.57,42.0
4,AlexisRiel@rhyta.com,Alexis Riel,M,423.61,28.7,101666.4,51.21,47.0
5,LeonLapresse@cuvox.de,Leon Lapresse,M,836.89,33.8,200853.6,93.4,41.0
6,OrvilleRouthier@gustr.com,Orville Routhier,M,711.33,38.1,170719.2,85.08,34.0
7,AgramantPepin@dayrep.com,Agramant Pepin,M,2956.95,53.9,887085.0,437.63,26.0
8,AiglentinaLambert@fleckens.hu,Aiglentina Lambert,F,751.38,21.0,135248.4,74.16,53.0
9,TheodoreClavet@teleworm.us,Theodore Clavet,M,612.61,44.2,110269.8,58.99,31.0
10,ByronLefebvre@jourrapide.com,Byron Lefebvre,M,378.34,16.5,90801.6,45.93,34.0
11,FlorusDevoe@einrot.com,Florus Devoe,M,1013.84,30.3,243321.6,121.56,35.0
12,NormandArsenault@armyspy.com,Normand Arsenault,M,428.0,26.8,51360.0,23.22,44.0
13,AcelineHughes@jourrapide.com,Aceline Hughes,F,393.62,15.4,118086.0,60.03,41.0
14,GastonBrisette@superrito.com,Gaston Brisette,M,1334.39,55.3,400317.00000000006,192.49,28.0
15,AgateGrandbois@gustr.com,Agate Grandbois,F,1220.37,29.7,292888.8,155.23,28.0
16,AgricanFoucault@jourrapide.com,Agrican Foucault,M,1505.03,24.6,361207.2,182.26,37.0
17,PrunellaJosseaume@armyspy.com,Prunella Josseaume,F,1507.36,30.6,361766.4,188.27,40.0
18,YseultCharest@armyspy.com,Yseult Charest,F,1726.53,30.2,517959.0,238.48,43.0
19,DorotheeAupry@cuvox.de,Dorothee Aupry,F,346.5,22.0,83160.0,41.58,47.0
20,AmauryReault@teleworm.us,Amaury Reault,M,1237.61,37.3,297026.4,142.08,29.0
21,GillesBeauchamps@superrito.com,Gilles Beauchamps,M,407.15,25.9,122145.0,57.1,30.0
22,FranckDumont@gustr.com,Franck Dumont,M,3018.25,51.7,724380.0,370.94,41.0
23,DelmareLHeureux@dayrep.com,Delmare L Heureux,F,1018.93,22.8,244543.2,125.23,54.0
24,AlphonseCantin@cuvox.de,Alphonse Cantin,M,602.77,37.3,144664.8,73.54,25.0
25,BlondelleRochon@gustr.com,Blondelle Rochon,F,1394.32,25.2,418296.0,203.05,26.0
26,SavilleBernard@armyspy.com,Saville Bernard,M,1100.37,25.8,264088.8,131.82,36.0
27,AnnetteJolicoeur@armyspy.com,Annette Jolicoeur,F,509.21,27.1,91657.8,40.63,35.0
28,BradamateMichel@armyspy.com,Bradamate Michel,F,535.3,38.4,160590.0,80.7,23.0
29,HilaireFrappier@armyspy.com,Hilaire Frappier,F,579.35,24.2,139044.0,59.04,29.0
30,MarieBriard@gustr.com,Marie Briard,F,514.08,28.8,123379.2,53.52,inconnue
31,MadeleineBatard@superrito.com,Madeleine Batard,F,550.48,16.2,165144.0,75.21,23.0
32,ArberGarcia@dayrep.com,Arber Garcia,M,1196.65,35.0,215397.00000000003,109.67,40.0
33,SaberViens@superrito.com,Saber Viens,M,1032.7,25.2,185886.0,92.87,34.0
34,ArnaudDubois@rhyta.com,Arnaud Dubois,M,768.77,28.6,184504.8,84.18,50.0
35,PryorBeauchamp@dayrep.com,Pryor Beauchamp,M,436.57,20.1,130971.0,54.79,45.0
36,AlphonsePotvin@armyspy.com,Alphonse Potvin,M,1922.7,34.8,461448.0,242.26,26.0
37,FitzLafontaine@dayrep.com,Fitz Lafontaine,M,455.4,16.5,136620.0,70.42,32.0
38,DelmareLamothe@gustr.com,Delmare Lamothe,F,1098.66,27.8,329598.0,159.31,53.0
39,DaisiBoileau@jourrapide.com,Daisi Boileau,F,425.8,26.3,102192.0,45.86,43.0
40,SomerPaquette@jourrapide.com,Somer Paquette,M,621.59,16.2,149181.6,74.9,42.0
41,OlivieCourtemanche@armyspy.com,Olivie Courtemanche,F,453.11,27.1,108746.4,57.32,53.0
42,GermainHughes@teleworm.us,Germain Hughes,M,1393.24,50.7,250783.2,126.33,38.0
43,MorganaBellemare@superrito.com,Morgana Bellemare,F,336.75,25.0,60615.0,30.03,44.0
44,MerciMorin@gustr.com,Merci Morin,F,364.46,27.8,43735.2,20.59,50.0
45,VerneyBedard@dayrep.com,Verney Bedard,M,865.54,38.4,207729.6,100.32,34.0
46,IgnaceAudibert@armyspy.com,Ignace Audibert,M,243.38,16.4,73014.0,34.29,37.0
47,FranckBinet@superrito.com,Franck Binet,M,432.01,26.7,103682.4,55.99,35.0
48,SumnerRocheleau@einrot.com,Sumner Rocheleau,M,1036.88,52.0,248851.2,112.81,49.0
49,AubertPatel@armyspy.com,Aubert Patel,M,1442.05,49.2,346092.0,173.05,54.0
50,SumnerLaprise@superrito.com,Sumner Laprise,M,1876.2,31.8,225144.0,96.25,49.0
51,MadeleineLeveille@dayrep.com,Madeleine Leveille,F,589.45,42.9,70734.0,34.78,48.0
52,BelisardaGuedry@dayrep.com,Belisarda Guedry,F,973.56,36.6,292068.0,136.18,26.0
53,ZurieTheberge@gustr.com,Zurie Theberge,F,1408.28,38.0,337987.2,163.5,49.0
54,ErmengardiBousquet@dayrep.com,Ermengardi Bousquet,F,749.21,21.4,134857.80000000002,62.2,46.0
55,FlorenceBeaudoin@einrot.com,Florence Beaudoin,F,881.67,22.7,158700.6,73.0,47.0
56,LeoneCrete@armyspy.com,Leone Crete,F,642.39,29.4,154173.6,82.48,33.0
57,SearlaitCote@superrito.com,Searlait Cote,F,948.5,25.0,227640.0,106.9,38.0
58,AlphonsineBourassa@cuvox.de,Alphonsine Bourassa,F,664.12,27.5,79694.4,39.12,39.0
59,DidianeDAubigne@einrot.com,Didiane D Aubigne,F,696.58,19.6,125384.4,56.11,28.0
60,EdouardLacroix@cuvox.de,Edouard Lacroix,M,688.17,57.3,165160.8,76.59,26.0
61,OdeletteCharron@superrito.com,Odelette Charron,F,1140.27,23.9,342081.0,172.75,43.0
62,AleronBerard@rhyta.com,Aleron Berard,M,556.54,17.3,100177.2,48.67,49.0
63,SylvieDuranseau@einrot.com,Sylvie Duranseau,F,1586.4699999999998,38.56,392340.6,185.7,47.0
64,YvetteDAvis@cuvox.de,Yvette D Avis,F,1594.4599999999998,36.86,336867.0,173.33999999999995,45.0
65,SolaineLecuyer@dayrep.com,Solaine Lecuyer,F,1091.34,28.2,196441.2,97.73,41.0
66,CourtlandDavid@cuvox.de,Courtland David,M,665.45,47.6,199635.0,101.07,43.0
67,PatienceCharbonneau@jourrapide.com,Patience Charbonneau,F,2395.94,42.8,575025.6,272.18,33.0
68,EmmanuelLanctot@cuvox.de,Emmanuel Lanctot,M,518.58,26.8,62229.600000000006,32.36,38.0
69,MusetteProvencher@armyspy.com,Musette Provencher,F,872.47,38.3,209392.8,109.93,42.0
70,MorganaMarchesseault@teleworm.us,Morgana Marchesseault,F,508.51,18.2,91531.8,43.17,40.0
71,ViolletteArnoux@cuvox.de,Viollette Arnoux,F,687.46,37.0,164990.40000000002,71.29,50.0
72,SlainieGregoire@cuvox.de,Slainie Gregoire,F,2230.91,37.3,535418.3999999999,256.55,38.0
73,GarlandLagueux@rhyta.com,Garland Lagueux,F,457.07,16.4,109696.8,53.52,35.0
74,FerragusGrimard@cuvox.de,Ferragus Grimard,M,646.04,22.7,193812.0,93.11,27.0
75,JeanTollmache@einrot.com,Jean Tollmache,M,629.73,20.1,151135.2,75.69,48.0
76,LanceParent@teleworm.us,Lance Parent,M,876.97,25.9,105236.4,44.86,48.0
77,CheneyChaloux@cuvox.de,Cheney Chaloux,M,1146.21,26.9,275090.4,136.06,41.0
78,PierpontLamarre@superrito.com,Pierpont Lamarre,M,1048.3,37.2,251592.0,116.36,51.0
79,ComforteQuerry@superrito.com,Comforte Querry,F,448.92,17.8,107740.8,57.06,48.0
80,NadineMasson@teleworm.us,Nadine Masson,F,2197.69,32.4,395584.2,200.26,46.0
81,FranceLaderoute@jourrapide.com,France Laderoute,F,961.04,32.8,230649.6,112.06,25.0
82,LothairBonenfant@dayrep.com,Lothair Bonenfant,M,1131.37,36.1,271528.8,139.95,42.0
