student_id,nom,prenom,age,sexe,filiere,niveau,moyenne_Generale,Categorie
ETU1648,Assogba,Mawuli,18,M,Génie Électrique,L1,18.64,Excellent
ETU1416,Assogba,Afi,21,M,IA & Big Data,L1,18.48,Excellent
ETU1060,Assogba,Dodzi,23,M,Logistique & Transport,L1,18.23,Excellent
ETU1050,Agbeko,Dodzi,18,M,Logistique & Transport,L1,18.14,Excellent
ETU1784,Amegan,Sena,21,F,IA & Big Data,L3,18.12,Excellent
ETU1209,Agbeko,Afi,21,F,IA & Big Data,L2,18.11,Excellent
ETU1066,Assogba,Eyram,24,M,Génie Électrique,L1,17.94,Excellent
ETU1090,Amegan,Koffi,24,M,Informatique & Systèmes,L1,17.89,Excellent
ETU1750,Assogba,Yao,22,F,IA & Big Data,L3,17.83,Excellent
ETU1668,Assogba,Mawuli,18,M,Génie Électrique,L1,17.83,Excellent
ETU1763,Assogba,Dodzi,18,M,Informatique & Systèmes,L1,17.72,Excellent
ETU1312,Kossi,Ama,17,F,Informatique & Systèmes,L2,17.7,Excellent
ETU1370,Lawson,Sena,25,M,Informatique & Systèmes,L3,17.68,Excellent
ETU1501,Doe,Kodjo,23,F,Génie Civil,L1,17.6,Excellent
ETU1296,Kouassi,Eyram,22,F,Génie Civil,L1,17.53,Excellent
ETU1376,Agbeko,Akossiwa,26,F,Logistique & Transport,L3,17.41,Excellent
ETU1046,Amegan,Ama,20,F,Informatique & Systèmes,L1,17.37,Excellent
ETU1772,Mensah,Mawuli,17,F,Logistique & Transport,L1,17.37,Excellent
ETU1140,Assogba,Sena,21,M,Logistique & Transport,L3,17.27,Excellent
ETU1698,Mensah,Kodjo,19,M,Informatique & Systèmes,L1,17.15,Excellent
ETU1555,Tchalla,Kodjo,21,M,Génie Civil,L1,16.99,Excellent
ETU1795,Adjei,Ama,23,F,Génie Électrique,L3,16.91,Excellent
ETU1404,Amegan,Sena,24,M,Génie Civil,L3,16.91,Excellent
ETU1687,Tchalla,Koffi,25,M,Génie Civil,L2,16.9,Excellent
ETU1030,Amegan,Yao,22,M,IA & Big Data,L1,16.89,Excellent
ETU1723,Kossi,Ama,23,M,Informatique & Systèmes,L1,16.87,Excellent
ETU1202,Amegan,Afi,21,F,Logistique & Transport,L1,16.84,Excellent
ETU1122,Doe,Kodjo,23,M,Informatique & Systèmes,L1,16.75,Excellent
ETU1606,Lawson,Akossiwa,18,M,Génie Électrique,L2,16.75,Excellent
ETU1102,Kouassi,Yao,21,F,Génie Civil,L1,16.69,Excellent
ETU1654,Tchalla,Afi,19,F,Informatique & Systèmes,L3,16.64,Excellent
ETU1738,Agbeko,Mawuli,17,M,Génie Civil,L1,16.59,Excellent
ETU1609,Kouassi,Yao,18,M,Informatique & Systèmes,L1,16.46,Excellent
ETU1683,Assogba,Ama,24,F,Génie Électrique,L2,16.45,Excellent
ETU1692,Assogba,Koffi,19,M,Logistique & Transport,L3,16.41,Excellent
ETU1064,Amegan,Eyram,22,M,Informatique & Systèmes,L1,16.37,Excellent
ETU1248,Agbeko,Sena,22,F,Informatique & Systèmes,L3,16.24,Excellent
ETU1308,Lawson,Dodzi,17,M,Génie Électrique,L1,16.19,Excellent
ETU1197,Kossi,Akossiwa,18,F,Génie Électrique,L1,16.15,Excellent
ETU1115,Tchalla,Kodjo,25,F,Logistique & Transport,L1,16.14,Excellent
ETU1573,Mensah,Kodjo,24,F,Génie Civil,L1,16.12,Excellent
ETU1481,Kouassi,Mawuli,17,inconnue,IA & Big Data,L1,16.09,Excellent
ETU1011,Assogba,Eyram,18,F,Informatique & Systèmes,L3,16.08,Excellent
ETU1612,Agbeko,Yao,23,F,Génie Électrique,L2,16.03,Excellent
ETU1797,Amegan,Mawuli,19,M,Informatique & Systèmes,L3,16.03,Excellent
ETU1230,Amegan,Kodjo,20,F,Informatique & Systèmes,L3,16.03,Excellent
ETU1299,Mensah,Kodjo,20,F,Génie Civil,L1,15.98,Bon
ETU1328,Kossi,Afi,18,M,Génie Électrique,L2,15.97,Bon
ETU1253,Lawson,Dodzi,18,F,Génie Électrique,L3,15.96,Bon
ETU1362,Adjei,Eyram,18,F,Informatique & Systèmes,L1,15.93,Bon
ETU1601,Agbeko,Yao,17,F,Génie Électrique,L3,15.92,Bon
ETU1461,Kossi,Dodzi,22,F,Génie Civil,L2,15.86,Bon
ETU1111,Agbeko,Ama,21,F,Génie Électrique,L1,15.77,Bon
ETU1469,Assogba,Koffi,21,F,Informatique & Systèmes,L1,15.76,Bon
ETU1072,Amegan,Ama,19,M,Informatique & Systèmes,L1,15.74,Bon
ETU1680,Agbeko,Ama,24,M,Génie Civil,L2,15.74,Bon
ETU1409,Mensah,Dodzi,23,M,Logistique & Transport,L1,15.72,Bon
ETU1526,Assogba,Sena,20,M,Logistique & Transport,L1,15.72,Bon
ETU1153,Adjei,Kodjo,20,M,Génie Civil,L3,15.62,Bon
ETU1249,Mensah,Ama,18,M,Informatique & Systèmes,L1,15.58,Bon
ETU1425,Kossi,Dodzi,21,F,Génie Civil,L3,15.55,Bon
ETU1332,Lawson,Mawuli,25,M,Génie Civil,L1,15.55,Bon
ETU1190,Doe,Akossiwa,22,F,IA & Big Data,L3,15.53,Bon
ETU1068,Mensah,Kodjo,22,M,Informatique & Systèmes,L3,15.49,Bon
ETU1521,Kossi,Yao,26,M,Génie Électrique,L2,15.48,Bon
ETU1056,Tchalla,Yao,25,F,Logistique & Transport,L2,15.41,Bon
ETU1001,Agbeko,Akossiwa,24,M,Informatique & Systèmes,L2,15.34,Bon
ETU1645,Lawson,Koffi,25,F,Logistique & Transport,L1,15.33,Bon
ETU1283,Amegan,Afi,25,M,Génie Civil,L3,15.3,Bon
ETU1673,Mensah,Yao,21,F,Informatique & Systèmes,L1,15.3,Bon
ETU1478,Doe,Koffi,19,F,Informatique & Systèmes,L1,15.3,Bon
ETU1696,Agbeko,Afi,18,F,Génie Civil,L2,15.19,Bon
ETU1279,Mensah,Eyram,18,M,Génie Électrique,L1,15.19,Bon
ETU1401,Agbeko,Kodjo,17,M,Génie Civil,L3,15.18,Bon
ETU1233,Agbeko,Akossiwa,17,M,Logistique & Transport,L1,15.16,Bon
ETU1088,Agbeko,Koffi,26,M,Génie Civil,L1,15.15,Bon
ETU1685,Kouassi,Eyram,25,M,Génie Civil,L2,15.15,Bon
ETU1375,Mensah,Akossiwa,17,M,IA & Big Data,L1,15.12,Bon
ETU1758,Kossi,Dodzi,23,F,Génie Civil,L2,15.03,Bon
ETU1212,Agbeko,Yao,23,F,Logistique & Transport,L3,15.03,Bon
ETU1622,Kossi,Afi,17,M,IA & Big Data,L2,15.02,Bon
ETU1411,Adjei,Mawuli,20,F,Logistique & Transport,L2,15.0,Bon
ETU1714,Assogba,Yao,19,M,Logistique & Transport,L3,14.99,Bon
ETU1562,Amegan,Akossiwa,21,M,Génie Civil,L2,14.98,Bon
ETU1726,Agbeko,Akossiwa,20,M,Génie Civil,L1,14.97,Bon
ETU1468,Kossi,Dodzi,20,M,Génie Électrique,L3,14.96,Bon
ETU1438,Mensah,Yao,26,M,Informatique & Systèmes,L1,14.95,Bon
ETU1346,Assogba,Afi,18,M,Logistique & Transport,L2,14.94,Bon
ETU1659,Adjei,Afi,26,M,IA & Big Data,L3,14.93,Bon
ETU1482,Adjei,Akossiwa,20,F,IA & Big Data,L1,14.9,Bon
ETU1188,Adjei,Yao,21,F,Informatique & Systèmes,L1,14.89,Bon
ETU1390,Agbeko,Kodjo,22,M,Génie Électrique,L1,14.88,Bon
ETU1334,Amegan,Sena,18,M,Informatique & Systèmes,L2,14.86,Bon
ETU1095,Adjei,Sena,23,M,Informatique & Systèmes,L1,14.86,Bon
ETU1427,Kouassi,Dodzi,26,M,Génie Civil,L1,14.86,Bon
ETU1572,Adjei,Kodjo,26,F,Génie Civil,L3,14.84,Bon
ETU1672,Doe,Kodjo,19,F,Informatique & Systèmes,L2,14.84,Bon
ETU1256,Doe,Kodjo,20,M,Logistique & Transport,L2,14.83,Bon
ETU1348,Kossi,Sena,17,M,IA & Big Data,L3,14.82,Bon
ETU1745,Lawson,Afi,19,F,Génie Civil,L2,14.82,Bon
ETU1616,Adjei,Sena,21,F,IA & Big Data,L2,14.8,Bon
ETU1239,Doe,Eyram,22,F,Génie Électrique,L2,14.8,Bon
ETU1366,Amegan,Koffi,20,M,Informatique & Systèmes,L1,14.79,Bon
ETU1655,Tchalla,Koffi,23,F,Logistique & Transport,L3,14.79,Bon
ETU1065,Lawson,Sena,20,F,Logistique & Transport,L1,14.77,Bon
ETU1695,Adjei,Kodjo,25,M,IA & Big Data,L3,14.76,Bon
ETU1073,Kossi,Ama,24,F,Logistique & Transport,L1,14.7,Bon
ETU1477,Mensah,Mawuli,21,M,IA & Big Data,L2,14.7,Bon
ETU1791,Amegan,Akossiwa,18,F,IA & Big Data,L1,14.7,Bon
ETU1017,Kossi,Ama,22,M,IA & Big Data,L2,14.67,Bon
ETU1581,Kouassi,Yao,19,F,Génie Civil,L3,14.64,Bon
ETU1582,Kossi,Akossiwa,23,M,IA & Big Data,L3,14.63,Bon
