client_id,nom,age,sexe,ville,date_inscription,segment
1,Kodjo Adjei,24.0,M,Kpalimé,2025-08-10,Nouveau
2,Dede Agbeko,20.0,M,Lomé ,23/09/2023,Régulier
3,Akpene Tchassa,29.0,F,Dapaong,2025-12-11,Nouveau
4,Afi Tchassa,39.0,M,kpalime,2023-07-11,VIP
5,Sena Sossou,19.0,M,Atakpamé,07/05/2022,Régulier
6,Sena Kpodar,27.0,F,Atakpamé,2024-01-04,Régulier
7,Kodjo Kpodar,15.0,F,atakpame,26/09/2025,Régulier
8,Dede Bakoma,26.0,F,Lomé,02/07/2025,Régulier
9,Afi Tchassa,38.0,M,Lomé,23/10/2025,Régulier
10,Adjoa Sossou,23.0,M,Atakpamé,18/08/2023,Régulier
11,Kekeli Dossou,20.0,F,Sokodé,24/07/2022,Régulier
12,Elom Agbeko,20.0,M,sokode,25/01/2024,Régulier
13,Essi Sossou,20.0,M,sokode,2022-06-11,Régulier
14,Adjoa Adjei,15.0,M,Kara,26/05/2022,Régulier
15,Yao Tchassa,30.0,F,kpalime,26/09/2022,Régulier
16,Kodjo Agbeko,37.0,F,LOME,13/10/2022,Régulier
17,Yao Bakoma,20.0,M,Sokode,2025-09-14,Nouveau
18,Elom Kpodar,26.0,F,atakpame,2023-03-16,Régulier
19,Komi Tchassa,29.0,F,kpalime,2022-03-05,Régulier
20,Komi Kpodar,23.0,F,Dapaong,2025-09-11,Régulier
21,Kekeli Kpodar,21.0,F,KARA,17/08/2025,Régulier
22,Komi Dossou,24.0,F,Atakpamé,2022-06-11,Nouveau
23,Afi Dossou,,F,Kpalimé,2023-03-01,Nouveau
24,Adjoa Amouzou,29.0,F,Lomé,2023-03-14,Régulier
25,Elom Bakoma,24.0,F,Kpalimé,16/09/2023,VIP
26,Kekeli Dossou,39.0,F,lome,2023-02-04,VIP
27,Dede Dossou,18.0,M,KARA,22/09/2023,Régulier
28,Yao Kpodar,28.0,M,kpalime,08/09/2024,Régulier
29,Yao Adjei,29.0,F,Sokodé,08/04/2025,Nouveau
30,Dede Bakoma,15.0,M,sokode,2022-01-10,Régulier
31,Kekeli Agbeko,10.0,M,Atakpamé,21/12/2025,Nouveau
32,Elom Adjei,29.0,F,Kara,2022-07-16,Nouveau
33,Kekeli Sossou,25.0,M,dapaong ,2024-06-10,Régulier
34,Mawuli Amouzou,30.0,M,dapaong ,2022-09-05,Régulier
35,Sena Amouzou,22.0,F,sokode,2022-06-24,Nouveau
36,Akpene Adjei,39.0,F,dapaong ,2024-03-05,Nouveau
37,Kekeli Dossou,32.0,M,lome,2024-07-15,Régulier
38,Kodjo Sossou,26.0,M,Lomé ,2025-11-13,Régulier
39,Yao Adjei,21.0,M,Dapaong,2023-10-08,Nouveau
40,Akpene Kpodar,29.0,F,Sokode,05/01/2022,
41,Mawuli Sossou,40.0,F,kpalime,21/08/2022,Régulier
42,Essi Sossou,27.0,F,Atakpamé,24/10/2024,
43,Adjoa Kpodar,41.0,F,lome,2022-09-12,Régulier
44,Dede Adjei,12.0,F,kpalime,2024-11-05,
45,Kodjo Kpodar,23.0,M,LOME,05/06/2025,Nouveau
46,Afi Dossou,48.0,F,kpalime,2023-02-23,Régulier
47,Ama Kpodar,33.0,M,Atakpamé,2022-08-17,Régulier
48,Akpene Dossou,15.0,F,Kpalimé,17/06/2022,Nouveau
49,Ama Tchassa,29.0,F,sokode,2023-05-06,Nouveau
50,Dede Kpodar,51.0,F,atakpame,13/02/2025,Nouveau
51,Afi Kpodar,32.0,M,Sokode,2022-12-10,Nouveau
52,Kossi Bakoma,,F,atakpame,25/01/2023,VIP
53,Essi Dossou,24.0,F,Dapaong,2024-09-23,Régulier
54,Adjoa Bakoma,33.0,M,Dapaong,14/04/2022,VIP
