student_id,nom,prenom,age,sexe,filiere,niveau,moyenne_Generale,Categorie
ETU1571,Amegan,Akossiwa,24,F,Génie Électrique,L1,5.99,Tres faible
ETU1412,Adjei,Kodjo,18,F,Informatique & Systèmes,L3,5.91,Tres faible
ETU1643,Amegan,Kodjo,18,F,Logistique & Transport,L1,5.69,Tres faible
ETU1310,Doe,Sena,17,M,Logistique & Transport,L1,5.68,Tres faible
ETU1534,Tchalla,Afi,21,F,Logistique & Transport,L1,5.66,Tres faible
ETU1138,Lawson,Kodjo,17,F,Génie Civil,L1,5.59,Tres faible
ETU1357,Kouassi,Eyram,22,M,Génie Électrique,L1,5.21,Tres faible
ETU1746,Tchalla,Sena,,M,IA & Big Data,L2,5.16,Tres faible
ETU1379,Adjei,Koffi,24,F,Génie Civil,L2,5.12,Tres faible
ETU1541,Mensah,Ama,25,M,Informatique & Systèmes,L3,4.33,Tres faible
