student_id,nom,prenom,age,sexe,filiere,niveau
ETU1000,Mensah,Koffi,20.0,M,Logistique & Transport,L3
ETU1001,Agbeko,Akossiwa,24.0,M,Informatique & Systèmes,L2
ETU1002,Doe,Afi,25.0,F,Logistique & Transport,L1
ETU1003,Amegan,Dodzi,,F,Génie Électrique,L2
ETU1004,Amegan,Mawuli,18.0,M,IA & Big Data,L1
ETU1005,Kouassi,Mawuli,25.0,M,Logistique & Transport,L1
ETU1006,Mensah,Afi,18.0,F,Informatique & Systèmes,L1
ETU1007,Doe,Ama,22.0,M,IA & Big Data,L2
ETU1008,Adjei,Akossiwa,19.0,M,IA & Big Data,L1
ETU1009,Mensah,Dodzi,18.0,M,Génie Civil,L1
ETU1010,Tchalla,Koffi,24.0,F,IA & Big Data,L1
ETU1011,Assogba,Eyram,18.0,F,Informatique & Systèmes,L3
ETU1012,Agbeko,Sena,23.0,,IA & Big Data,L2
ETU1013,Agbeko,Yao,23.0,M,Informatique & Systèmes,L1
ETU1014,Agbeko,Mawuli,17.0,M,Informatique & Systèmes,L1
ETU1015,Agbeko,Eyram,18.0,M,Génie Électrique,L2
ETU1016,Tchalla,Koffi,24.0,M,Informatique & Systèmes,L1
ETU1017,Kossi,Ama,22.0,M,IA & Big Data,L2
ETU1018,Kouassi,Sena,18.0,F,Génie Électrique,L2
ETU1019,Amegan,Dodzi,26.0,M,Informatique & Systèmes,L3
ETU1020,Tchalla,Koffi,19.0,M,Génie Électrique,L1
ETU1021,Lawson,Sena,17.0,M,IA & Big Data,L2
ETU1022,Kossi,Ama,26.0,F,IA & Big Data,L1
ETU1023,Assogba,Sena,17.0,F,Informatique & Systèmes,L3
ETU1024,Agbeko,Sena,22.0,M,Informatique & Systèmes,L3
ETU1025,Doe,Koffi,26.0,F,Informatique & Systèmes,L2
ETU1026,Amegan,Sena,22.0,M,Génie Civil,L2
ETU1027,Kouassi,Eyram,22.0,M,Informatique & Systèmes,L1
ETU1028,Tchalla,Eyram,20.0,F,Génie Électrique,L3
ETU1029,Amegan,Koffi,18.0,M,Génie Électrique,L2
ETU1030,Amegan,Yao,22.0,M,IA & Big Data,L1
ETU1031,Adjei,Yao,25.0,F,Génie Électrique,L2
ETU1032,Mensah,Kodjo,17.0,M,Informatique & Systèmes,L2
ETU1033,Tchalla,Ama,25.0,F,Informatique & Systèmes,L3
ETU1034,Kouassi,Eyram,21.0,M,IA & Big Data,L2
ETU1035,Mensah,Mawuli,22.0,M,Génie Civil,L2
ETU1036,Kouassi,Eyram,18.0,M,Logistique & Transport,L2
ETU1037,Kouassi,Ama,23.0,M,IA & Big Data,L1
ETU1038,Adjei,Koffi,18.0,M,Génie Électrique,L1
ETU1039,Doe,Dodzi,19.0,M,Génie Civil,L1
ETU1040,Kossi,Yao,24.0,F,Informatique & Systèmes,L3
ETU1041,Agbeko,Sena,17.0,M,Génie Civil,L2
ETU1042,Agbeko,Dodzi,21.0,M,Génie Électrique,L2
ETU1043,Lawson,Koffi,22.0,M,Logistique & Transport,L1
ETU1044,Mensah,Koffi,18.0,M,Logistique & Transport,L1
ETU1045,Assogba,Koffi,19.0,M,IA & Big Data,L2
ETU1046,Amegan,Ama,20.0,F,Informatique & Systèmes,L1
ETU1047,Kouassi,Koffi,23.0,M,Génie Électrique,L1
ETU1048,Doe,Eyram,26.0,F,IA & Big Data,L3
ETU1049,Agbeko,Sena,25.0,F,Informatique & Systèmes,L1
ETU1050,Agbeko,Dodzi,18.0,M,Logistique & Transport,L1
ETU1051,Kossi,Eyram,17.0,M,IA & Big Data,L2
ETU1052,Lawson,Dodzi,17.0,M,Informatique & Systèmes,L3
ETU1053,Amegan,Yao,22.0,F,Logistique & Transport,L1
ETU1054,Amegan,Yao,18.0,M,Informatique & Systèmes,L2
ETU1055,Mensah,Eyram,19.0,F,Informatique & Systèmes,L3
ETU1056,Tchalla,Yao,25.0,F,Logistique & Transport,L2
ETU1057,Kossi,Koffi,25.0,F,Informatique & Systèmes,L2
ETU1058,Agbeko,Sena,25.0,M,IA & Big Data,L2
ETU1059,Doe,Eyram,19.0,F,IA & Big Data,L2
ETU1060,Assogba,Dodzi,23.0,M,Logistique & Transport,L1
ETU1061,Agbeko,Dodzi,23.0,M,Informatique & Systèmes,L2
ETU1062,Lawson,Ama,18.0,M,Génie Électrique,L1
ETU1063,Assogba,Mawuli,22.0,F,IA & Big Data,L1
ETU1064,Amegan,Eyram,22.0,M,Informatique & Systèmes,L1
ETU1065,Lawson,Sena,20.0,F,Logistique & Transport,L1
ETU1066,Assogba,Eyram,24.0,M,Génie Électrique,L1
